example_id,symbol,pattern,label,window_start,window_start_precision,window_end,asof_date,expected_pivot_source_date,expected_pivot_level,pivot_price_adjustment_factor,expected_depth_pct,expected_depth_tolerance_pct_points,provenance,source_name,source_reference,annotator,rationale,split
p8-label-0001,SNPS,FLAT_BASE,POSITIVE,2023-04-04,DAY,2023-05-18,2023-05-18,2023-04-04,392.79,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/how-to-invest/investors-corner/growth-stock-synopsys-blasted-from-this-bullish-pattern-found-in-many-market-winners/,,"IBD explicitly describes a six-week flat base beginning from the April 4 peak at 392.79 and breaking out May 18; pivot anchor is the April 4 source high, not the breakout-day high.",DEVELOPMENT
p8-label-0002,NFLX,CUP_WITH_HANDLE,POSITIVE,2023-02-03,DAY,2023-05-18,2023-05-18,,,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/how-to-invest/investors-corner/netflix-stock-chart-pattern/,,"IBD/MarketSurge source record explicitly identifies the early-2023 cup-with-handle, with cup beginning Feb. 3 and breakout May 18 at 349.80; split frozen before detector comparison. Pivot fields remain intentionally unscored while this VALIDATION row stays locked.",VALIDATION
p8-label-0003,CTSH,CUP_WITH_HANDLE,POSITIVE,2004-01-01,MONTH,,2004-07-31,,26.74,4,,,AUTHORITATIVE_SOURCE,Investor's Business Daily (syndicated by Yahoo Finance),https://finance.yahoo.com/news/learn-basic-features-cup-handle-224700267.html,,"IBD explicitly identifies Cognizant's 2004 cup-with-handle; says the left side began taking shape in January 2004, the handle began in July and lasted about four weeks, and the stock broke out past a 26.74 entry in late July. The source pivot is preserved verbatim. For comparison with Yahoo's present-day split-adjusted historical OHLCV, divide by 4 for the two later 2-for-1 CTSH splits (2007 and 2014), giving a comparison anchor of 6.685. The 2004 2-for-1 split preceded the late-July breakout and is already reflected in the source-era 26.74 entry.",DEVELOPMENT
p8-label-0004,FOUR,CUP_WITH_HANDLE,POSITIVE,2024-02-01,MONTH,,2024-09-20,,84.26,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/stock-lists/sector-leaders/shift4-four-stock-actionable-now-buy-zone-acquisition-strategy/,,"IBD explicitly states that Shift4 began forming a large 25-week cup-with-handle base starting in February 2024 with an 84.26 entry, and that it broke out in early September. The source gives only month-level start precision, so no exact daily start or exact base-end boundary is invented; pivot price 84.26 is preserved verbatim.",DEVELOPMENT
p8-label-0005,SEI,DOUBLE_BOTTOM,POSITIVE,2024-07-01,MONTH,,2024-09-20,,12.74,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/how-to-invest/investors-corner/stock-market-winners-take-flight-base-on-base-pattern/,,"IBD states that after the week ended July 12, 2024 breakout Solaris Energy rallied for two weeks and then started forming what became a double-bottom base with a 12.74 buy point, which it cleared during the week ended Sept. 20. The source chronology constrains the base start to late July, but only MONTH precision is scored; no exact daily start/end boundary or pivot date is invented.",DEVELOPMENT
p8-label-0006,AMZN,CUP_WITHOUT_HANDLE,POSITIVE,2023-09-01,MONTH,,2023-11-17,,145.86,1,0.19,0.02,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/how-to-invest/investors-corner/amazon-stock-chart-patterns/,,"IBD explicitly identifies Amazon's 2023 base as a cup without handle, says the base began in September and was about 19% deep, and records the breakout past a 145.86 buy point in the week ended Nov. 17. MONTH start precision, 145.86 pivot, and rounded source depth 19% +/- 2 percentage points are frozen; no exact daily base-start/end or pivot date is invented.",DEVELOPMENT
p8-label-0007,TW,FLAT_BASE,POSITIVE,2024-10-15,DAY,,2024-11-19,,136.13,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/research/ibd-stock-of-the-day/ai-stock-tradeweb-stock-tw/,,"IBD states that Tradeweb hit a record high on Oct. 15, then pulled back and formed a flat base with a 136.13 buy point. The Nov. 19 source already identifies the base and buy point, so the DEVELOPMENT morphology label is frozen as of Nov. 19 without using the subsequent breakout. Exact base-end and pivot-date dimensions are intentionally left unscored.",DEVELOPMENT
p8-label-0008,NVDA,DOUBLE_BOTTOM,POSITIVE,,,2023-11-10,2023-11-10,,47.61,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/how-to-invest/investors-corner/stock-market-winners-often-do-this-before-big-price-move/,,"IBD explicitly states Nvidia broke out of a double-bottom base during the week ended Nov. 10 2023 / early November with a 47.61 entry. The source text used here does not publish an exact detector-comparable base-start anchor, so start and start precision are intentionally absent and unscored rather than inferred from the detector.",DEVELOPMENT
p8-label-0009,SPOT,DOUBLE_BOTTOM,POSITIVE,,,2025-05-02,2025-05-02,,621.20,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/research/ibd-stock-of-the-day/spotify-stock-hovers-buy-zone-breakout/,,"IBD Stock Of The Day states Spotify broke out of a double-bottom base at a 621.20 buy point on May 2 2025. The cited source does not provide an exact detector-comparable base-start anchor, so start and precision are intentionally absent and unscored.",DEVELOPMENT
p8-label-0010,EXEL,FLAT_BASE,POSITIVE,,,2026-09-02,2026-09-02,,57.57,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/news/technology/exelixis-stock-zanzalintinib-pdufa-delay/,,"IBD states that Exelixis broke out of a flat base with a 57.57 buy point on Sept. 2, 2026. The source does not publish a detector-comparable start anchor, so start is intentionally absent.",DEVELOPMENT
p8-label-0011,TRGP,FLAT_BASE,POSITIVE,,,2026-08-18,2026-08-18,,280.00,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/news/energy-stock-targa-exxon-stock-natural-gas-deal-ai/,,"IBD states that Targa Resources jumped above a flat-base buy point at 280 on Aug. 18, 2026. No exact base-start anchor is invented.",DEVELOPMENT
p8-label-0012,LLY,FLAT_BASE,POSITIVE,,,,2026-08-17,,1249.45,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/research/stock-market-ai-data-center-hewlett-packard-enterprise-hpe/,,"IBD states that Eli Lilly had formed a flat base with a 1249.45 entry as of Aug. 17, 2026. The article identifies the pattern and pivot but not a detector-comparable start date.",DEVELOPMENT
p8-label-0013,APH,CUP_WITH_HANDLE,POSITIVE,,,,2026-09-09,,88.17,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/research/ai-data-center-amphenol-aph-stock/,,"IBD states on Sept. 9, 2026 that Amphenol was building the right side of a cup-with-handle base with an 88.17 pivot. No exact source start is invented.",DEVELOPMENT
p8-label-0014,NVDA,CUP_WITH_HANDLE,POSITIVE,,,,2026-09-02,,227.92,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/news/technology/nvidia-stock-buy-point-chip-stocks-rally/,,"IBD MarketSurge states on Sept. 2, 2026 that Nvidia was in a cup-with-handle base with a 227.92 buy point. Start/end anchors are intentionally unscored because the source excerpt does not provide them.",DEVELOPMENT
p8-label-0015,BAC,CUP_WITH_HANDLE,POSITIVE,,,,2025-02-18,,47.98,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/research/bank-stock-bank-of-america-wells-fargo-morgan-stanley-bac-wfc-ms/,,"IBD states on Feb. 18, 2025 that Bank of America was in a cup-with-handle base with a 47.98 buy point. No exact source start is inferred.",DEVELOPMENT
p8-label-0016,INTC,CUP_WITHOUT_HANDLE,POSITIVE,,,2026-04-08,2026-04-08,,54.60,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/stock-lists/new-highs/intel-intc-stock-asml-arw-new-highs/,,"IBD explicitly states Intel broke out above the 54.60 buy point of a cup-without-handle base on Apr. 8, 2026. The source does not publish a detector-comparable start anchor.",DEVELOPMENT
p8-label-0017,ARW,CUP_WITHOUT_HANDLE,POSITIVE,,,2026-04-13,2026-04-13,,162.61,1,,,AUTHORITATIVE_SOURCE,Investor's Business Daily,https://www.investors.com/stock-lists/new-highs/intel-intc-stock-asml-arw-new-highs/,,"IBD explicitly states Arrow Electronics broke out from a cup-without-handle base on Apr. 13, 2026 and identifies the 162.61 buy point. Start is intentionally unscored.",DEVELOPMENT
